,text
110,Under current arrangements #HS2 can disperse HGV movements across the whole of the Camden road system - bad news for #cycleists https://t.co/k4AavNgvPz
111,"Despite the hysteria from the political class and the media, smoking doesn't kill.\nJust 'disproportionate negative views' #HS2 https://t.co/mFcIE0iDIJ"
112,"Terminating at Euston is certainly the #HS2 plan. However, they have spent £2Bn so a few test drills is not a big outlay https://t.co/yI9wbxwnnf"
113,"That is certainly part of a rational argument. #HS2 so far have not been rational. They say Euston better connected than OO, clearly wrong https://t.co/ADi2athzZM"
114,Not a single sub £1bn project in the North. \nHotch potch on Leeds Manchester \nZero Liverpool Newcastle \n\nOnly the MIRAGE Of #HS2 40 yrs away https://t.co/yWNYW4dzIV
116,Stealing taxpayers' money via #NHS #HS2 now this: Is the Dementia Tax a plan to make money for Theresa May's husband https://t.co/3XTaSe9Qqz https://t.co/UudCo5UjPP
118,"#HS2 will cause ruin for the rest of the transport system, as govt incumbents Westbourne Comms point out: https://t.co/zyMsWXSMMx https://t.co/RKi1tqMFMQ"
119,#HS2 'has the weakest economic case of all the projects within the infrastructure programme' Why not prioritise useful upgrades? https://t.co/ghtlAPeSkv
120,Now @theresa_may has flip-flopped on #dementiatax how about #HS2 ? @BBCNews @bbclaurak @Peston @AndrewMarr9 @bbcnickrobinson @HS2DeadDuck https://t.co/kXyEr54BbB
121,Disgraceful Conservative wannabee @antony_calvert welcomes Grayling to Wakefield and not a word on #HS2 damage to #Crofton #Altofts https://t.co/D6W61RCzPg
124,I have had my life saved by NHS &amp; all who work at JR in Oxford. Our Country is being starved of ESSENTIAL services YET #hs2 rolls on @ £56Bn https://t.co/ZT43ANNZoA
125,We all know which we want to save &amp; it is NOT #hs2 as EVERY Poll since 2010 have shown till today. Once again Politicians will not listen. https://t.co/fWfdOSULyn
127,Wont be many left after #hs2 destroys &lt;50 Ancient Forests/Woods + thousands of acres of farm land &amp; is our countryside to enjoy &amp; protect https://t.co/675jHHsJs8
129,"I wonder if ""Kate"" has been here and seen how the task of integrating #HS2 into our AONB is impossible. It will be imposed on Chilterns. https://t.co/FBuqgZdpG5"
130,£54Billion earmarked for #HS2 - so many more worthy and beneficial ways to spend the (borrowed) money https://t.co/Vd18wq2dAD https://t.co/c6KxEbHITl
131,"Well, they have been busy blowing taxpayers money. Execs from the Gravy Train certainly like to travel -  £44k in 3 months #HS2 @MailOnline https://t.co/wuACvwxqjX"
133,This @theresa_may @Number10gov is one reason why you will lose many votes around the Country as over 80% of UK population DO NOT WANT #hs2 https://t.co/hfbB00ulDo
134,So #hs2 destroys thousands of arable land to build a rail line no one wants. How about a water system from north to the south &amp; east to West https://t.co/hWNCot4GHy
135,"1/2 What you say about #SeanSheaha, #Labour's #2015GE i#NWLeicestershire candidate is true. He is a firm opponent of #HS2 and it's rerouting https://t.co/L7jSOCvwgI"
136,Much as I agree with you I despair at the tens of thousands of acres destroyed by #hs2 &amp; Green Field building plus destroyed Ancient Forests https://t.co/hUK8mz4rJt
137,#BattleForNumber10 I think May should have cancelled #HS2.....it's destroying loads of core constituencies and alienating support! https://t.co/924Gz2EBc9
138,Has this the same value as a promise as the one you gave that if #hs2 exceeded £32Bn you would pull the plug on it? Now it is £56Bn +++++++ https://t.co/88yOSDPHKV
140,"In 2013 you promised to Scrap #HS2 when it cost £50bn,it now costs £80bn rising to £200bn. How about backing your colleagues fighting route https://t.co/RINCgTbjhj"
141,Why then do you support #HS2? A shocking opportunity cost of £54Bn (currently) Began as £15.7Bn Its a Tory social betrayal backed by Labour https://t.co/ShpBJWGPuN
142,Oppose #HS2 Clearly and loudly and I will donate some money. Kier Starmer will explain that it is a wretched waste of Public Money https://t.co/PkjlMK7526
146,#Breaking2 #Toriesout #registertovote #GE2017 #HS2 no more #ToryDirtyMoney #sweetheartdeals #Surrey #Oxford #Swindon #Manchester #Leeds https://t.co/xbTY4qiDIm
147,Let's hope Andy B does not go flakey in #HS2 the £54Bn could generate so much Social Good if diverted https://t.co/LroYG5oIVp https://t.co/C8lzQmF3Gy
148,"You don't have to raise a penny for the #NHS or schools, there is £54Billion earmarked for unnecessary and unwanted #HS2 https://t.co/s3REXxMMY7"
149,The #Tories prefer to waste money than spend it efficiently that's why they have tripled the #nationaldeficit @capita #GardenBridge #HS2 https://t.co/DSlYkuShIR
150,Huge scandal waiting to happen if Gvmnt bulldoze through #HS2. It is financialy - morally - environmentally devoid of any reason to continue https://t.co/923MY7dn4U
151,Pity @UKLabour &amp; @jeremycorbyn support #hs2 which is sucking at least £56Bn from Economy &amp; could be £100Bn + £2.9Bn pa You might ask WHY? https://t.co/vA9UqA9opl
152,Whichever party elected at #GE2017 #HS2 will be a massive scandal for them! This is a stunning statement! @adamboultonSKY @KayBurley https://t.co/oqrhScjsSr
153,"The incompetence on all public projects defies belief.Always has. eg aircraft carriers,#HS2 Foot and Mouth etc etc 3rd raters in Whitehall. https://t.co/UMp1KCmt2z"
155,"Well actually, real life is based on the consequences of self interested individuals perverting the truth, using #HS2 as a tax cash cow https://t.co/MYNA78Fxmd"
156,But they are keen on pursuing £54Bn unwanted and unneeded #HS2 = what's all that about then? Oh yeh cash for the 'family' https://t.co/ZW6JfU6Bfv
157,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/vGDia6tuEQ
161,Anyone who bets this far into the future is a fool - you must have crystal balls - still it's not your money you are thinking about #HS2 https://t.co/FLzkims7NN
163,It would seem so - hamstrung by union paymasters Torys hamstrung by vested interests - worst of all possible blackmail scenarios #HS2 https://t.co/7Prj8emYN8
164,UKIP Manifesto: Costs of #HS2 | @FullFact https://t.co/YaXdhzPNab #GeneralElection @LibDems @UKLabour @Conservatives @UKIP https://t.co/wlU7EDlkaH
165,Why is the rail 'industry' so complex and hugely expensive - only 3% of all journeys yet £50Bn in debt and wants another £54Bn for #HS2 https://t.co/6CyHYXs0Rm
166,"1/3 These figures underestimate the outstanding debt to the taxpayer, as it cost money to operate #HS2. #HS2Ltd latest estimates for these https://t.co/zrK1f0ZCud"
168,#HS2 turns on the issue of how much public funding can be extracted despite a proven need to fund better opportunities with far higher BCR https://t.co/FTl3sSqY6N
169,"You mean I'm like good King Richard the Lion-heart, off fighting the heathens while bad #HS2 John taxes the starving peasants &amp; spends £54Bn https://t.co/XNiDzkAY5M"
171,"#NHS not being 'cherished' enough. Doctors leaving in Droves, Nurses at food banks. #HS2 comes at huge 'opportunity cost' for better causes https://t.co/p9bjIcU4gQ"
172,"Can we be clear, all the political parties and elite support the white elephant that is #hs2. It is not an issue in the election today. https://t.co/qMP0HviFmK"
173,And in any case the #HS2 money will run out in Brum so all quite academic unless £Billions more public money sucked in https://t.co/yd94CUSaJU
174,Brittiant News why don't Labour simply scrap #HS2 £56Bn to be distributed another £50Bn not wasted in future #Corbynhood - I voted JC https://t.co/HDzDlAt9Id
175,#vanityproject only good 4 the few  just like #HS2 &amp; #Heathrow  #conservative # #contractors #allinittogether as long as it is #themnotus https://t.co/Tjw2ooHRvW
176,If Tories canned Heathrow road/rail and made airport pay the £18bn plus #hs2 £48bn+.\n\n... There would be no need for #Dementiatax https://t.co/9AAHLxawYV
177,But to be fair #Tories are happy to waste £100bn on #HS2 &amp; £13bn yr on #Foreign Aid for next 5 yrs &amp; that will be £65 billion https://t.co/dlNJBMjaqX
179,The great contradiction is that taxes need to be raised for vital services but #HS2 goes uncosted by Labour - &amp; the Tories have little clue https://t.co/0it56mUT16
180,#NHS PFI debt of £229bn for £56bn of assets was caused by irresponsibility of all parties. Does this sound familiar? Scrap #HS2 https://t.co/vpERc6BpYv
182,#GE2017 Conservatives- strong protection of AONBs? Just look at #HS2 - Conservatives refused to protect Chilterns AONB with a full tunnel. https://t.co/oJsiZOhx8E
183,#JoCox believed in a better future for all. The Conservatives believe in their entitlement at the expense of the majority #Halifax #HS2 https://t.co/3oYSB3Vv6x
186,Perfectly timed - £Bilions of Public money showered on #HS2 when the Construction Industry cannot find workers https://t.co/HbG4iwp1Kw https://t.co/t0B4YM2043
187,#HS2 is a #Torymoneypit that they don't want to talk about &amp; the public never wanted. #NHSmillions #schoolsjustwannahavefunds #Cripthevoteuk https://t.co/rZo1CPfgvA
188,The #Tories are the party of spinning a losing wasteful economic idea &amp; just flogging it no matter what #HS2 @NCS  #Cambridge #NHSmillions https://t.co/tJO6rW1trC
189,Presume usual absurd #HS2 critics will be along shortly to tell Nottingham folk that slower jnys mean they can be more productive on train? https://t.co/4jsF54BPxH
192,voters would like their MP to explain the #ToryElectionFraud &amp; #ToryDirtyMoney #HSBC #HS2 #NHSMillions #Schoolfunding #Ipswich #Maidenhead https://t.co/JjxYdYP3lZ
201,"That's what I keep telling my wife, buying myself a Ferrari is peanuts compared to our mortgage - she just will not see my logic #HS2 https://t.co/UZN3TdWjaa"
205,"Costing of #HS2 takes no £ account of environmental degradation urban or rural, Work on trains, disruption to Camden &amp; passengers 20yrs https://t.co/VCGvMaoNPa"
208,Diverting billions from #NHS and #education for #HS2 vanity project will help #NHS and education. Clearly bonkers. Priorities wrong. https://t.co/vQbvnhABAs
209,This is the great disgrace of #HS2 All 'positive' points accentuated - no value whatsoever given to social or environmental costs https://t.co/mirteKSC43
210,So how much extra is this going to cost in addition to #HS2's £55.7bn budget? Have a look at this # #HiddenCostofHS2 to get some idea https://t.co/zYN979jeYG
211,Whatever the case why didn't #HS2 make any attempt to quantify environmental and social costs.Why is property acquisition off balance sheet? https://t.co/k1P9vHAA9D
212,The business people of the future (Our children) will use #Electronic Communication rather than sad old #HS2 train sets.\nMore efficient. https://t.co/u8zs8objPZ
214,You mean they won't be tempted just to sit on their arses and send their representative robots to Brum by Fed Ex? #HS2 https://t.co/ds80OqZnn6
215,"Corbyn and McDonald both spoke against #HS2 but the Union natives got very restless, Very restless indeed. As you say Tribal. Open the pits https://t.co/bXSWNZmXS8"
216,The mendacity of #HS2 will do nicely thank you. Once they start building the excrement will really hit the air conditioning. https://t.co/8wnPKU6pZ7
217,Surely you are not suggesting that #HS2 is a porcine aviation project? In which case I look forward to eating whatever it is I should eat https://t.co/efXrxNr4ct
218,"Puzzling thing about #HS2 P1 All Stations, according to Higgins,cost £2.89Billion yet Euston alone, missing lots out,£2.25Bn -why, how? https://t.co/NIOR3NSzE9"
219,Here's another fact #HS1 got its passenger projections and build cost wrong https://t.co/c9L08IB2YK How can we have confidence in #HS2 ? https://t.co/7xhjwgS0yj
220,"We said, we need more housing &amp; construction skills in short supply. They said we will pour £54Bn into #HS2 &amp; make those skills unaffordable https://t.co/7VwwaOKrCo"
221,#HS2  Still not listening. And they wonder why people are turning against them !!\nWhat will it take to make them understand ? #tory #labour https://t.co/0csf8EbPez
222,Shame they agreed to #HS2 farce - where is #any govt. finding £60 billion from thin air?  That would do nicely for #NHS &amp; #education ; ) https://t.co/ddlCnmjre2
223,The only thing art and culture will bring to #hs2 affected communities is via #artwashing - art is used to gloss destruction of communities https://t.co/YkkCxL7B2j
224,Everybody has underestimated the final cost #HS2 &amp; no idea why if #Corbyn wants to re nationalise railways he is in favour of it (?) https://t.co/eeTkTloqM9
225,Actually when you look at the real figures #Hammond made an even bigger bloomer. #HS2 cost £55.7bn Hammond est £32bn - our by c£24bn https://t.co/0taNfkNvhZ
226,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But whats the odd £4bn among friends? https://t.co/AQNjqQ1QXf
227,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/ZoHc9n200F
228,The 'manufactures' would wouldn't they - its gravy time #HS2 The candlestick makers would like the same anachronistic opportunity no doubt https://t.co/O2wGGysd2h
229,Thank you for posting - what I feared. #HS2 is a disaster waiting to happen. Once passengers arriving in #Bham transfer - journey is slower https://t.co/z05AVhDITY
231,#brexit? #really? or yet another #opportunity for #torygreed #austerity? Stop #HS2 and use our #taxes for our benefit &amp; #infrastructure https://t.co/weDZa4ErIT
235,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/ckoAZq8RFW
237,#torymanifesto £54Bn on #HS2 to keep Tory chums happy - could be far better spent and make lots of peoples lives happier https://t.co/T3rt6GPW2B
239,hasn't worked so far has it? Our total #infrasracture #funding has been pillaged for #Tory cronies to profit from #HS2 #ToriesOut2017 https://t.co/Yyo3xJXGvG
242,No. Philip Hammond. The guy in government who underestimated #HS2 rail cost by....\n20 BILLION POUNDS in a recent interview! https://t.co/O5aCDtTOZM
243,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/AmSY6HiK9n
244,#ToryManifesto “Will Continue” With #HS2 as #Hammond Forgets Costs https://t.co/uJX9WFyGHb #StopHS2 #GE2017 #GE17 via @stophs2 https://t.co/W903pUaRHw
245,"🦂You need to talk to #Hammond and his £30bn hole in #HS2. And he's the #Chancellor? #WTF, not even 'O' level maths! #JustAKinTwonk https://t.co/CEnyiUCSXl"
246,They can ride up and down on the £54Bn #HS2   #torymanifesto they will still be paying in 60 years   https://t.co/Vd18wq2dAD https://t.co/n7lOT55ulP
247,Or they could divide £54Bn #HS2 cost by the number of UK schoolchildren not getting a good enough education #torymanifesto https://t.co/RBdgQw9Gw7
248,What is meant by 'diverse'? #HS2 contracts not to be offered only to the firm the CEO worked for. Or must dogs and cats get an opportunity ? https://t.co/nuHbnU4ZIS
249,There's not a great deal of good in this TBH. No commitment to renewable energy. Full go ahead for #Fracking &amp; #HS2 Some thinking to do... https://t.co/Uy8yZaxQIP
252,#Crossrail2 is not mentioned in the #torymanifesto Without XRail 2 #HS2 cannot come to Euston without carnage on the underground https://t.co/qphEvBWfpJ
253,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/2jTdvleRst
254,"I would remind you that 800 HGVs per day to be on Camden roads for 10Yrs to move #HS2 spoil, road transport will be non polluting in 10 yrs https://t.co/Mcyzd7exXc"
255,Lots of #HS2 'friends' from home and abroad able and willing to carry off as many £Billions as we can borrow against our children's future https://t.co/3DvSZjD1xm
256,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/z2tE4BX0ZW
257,Not having  XR2 at Euston means it is impossible to disperse #HS2 passengers - Either not going to Euston or Tories don't believe PAX claims https://t.co/eqBTqeXXC5
258,Philip Hammond said people who were affected by #HS2 were #nimbies and so couldn't argue same argument must apply to train spotters surely? https://t.co/Q90VmmWltc
259,But does *anyone* in the Westminster political class have any idea how much #HS2 will cost? Another Great British Heroic Industrial Delusion https://t.co/j6E9UCa6o9
261,#HS2 will be sold at a  a significant discount to cost. UK Taxpayer will still pay the interest on the difference of course https://t.co/OHwnhK2nKM
262,#Hammond's undershot of the cost of #HS2 was nearer to c£24bn as its official cost was est @ £55.7bn. But what's the odd £4bn among friends? https://t.co/tNNR3PwYoe
263,"There is nothing good or useful going to come from #HS2, nor will it improve any aspect of the nation or its natural environment. https://t.co/1HaGtqNjRX"
266,Too true. Us mug #UKTaxpayers will still be owed c£38bn after #HS2 has been operating for 60 yrs according to #HS2Ltd https://t.co/5AB7LdLh7v
267,#HS2 is the biggest transfer of #Taxpayer funds to private purse this Century.\nChums of @number10gov getting #Richer at our #expense.\n#fail https://t.co/xFRJqPF1ow
273,"Please: Chop as many trees down as possible, fill roads with HGVs, transfer Public assets to #HS2 , ruin air quality, keep it up for 20yrs https://t.co/PvTlst1ZIC"
277,Bravo! It is only too late when the track is being laid.Maybe Politicians will list to the great majority of the UK who have said NO to #hs2 https://t.co/zYI7GdJNsW
282,Unless that property investor or hapless homeowner happens to have property or a home in an area blighted by #HS2 but don't worry about them https://t.co/95KuWPvKEg
283,#HS2 has nothing to do with 'revolutions' unless you count the Industrial Revolution Steel Wheels on Steel Track  19th Century technology https://t.co/Dz1KY9fXdc
286,#HS2 Must be able to accommodate fat arses and have room for servants in a rear carriage - money no object -  https://t.co/c9L08IB2YK https://t.co/suGb5xSxWy
287,"There are coincidences, directly connected events, conspiracies, bribery, corruption, coercion, skulduggery - I think a coincidence #HS2 https://t.co/OHb66ONscD"
288,#HS2 Interesting that Mace have got the House of Commons contract also interesting that Virgin got WCML after threatening Judicial Review https://t.co/PSJp6C75iH
289,'Those Golden Days of Yore' So #HS2 is worth £100Bn after all !  Those #NHS Nurses can stop their bleating. What's wrong with food banks? https://t.co/xcxVJioyaU
290,"Do you think looking down the back of the #HS2 sofa might help? Maybe not, you will find lots of Ch2M CEOs, but very little money. https://t.co/q9RjPDax2S"
292,why do you think no one can afford it? plenty of people go by train today - city 2 city will be faster than driving #hs2 https://t.co/Q4BXPp51YL
293,"1/2 Marie, thats now an underestimate, based on £33bn being the original estimated construction cost for #HS2. Now the figure is £55.7bn https://t.co/L0BtNKpw7z"
296,Rail is notorious for providing poor Value for Money #HS1 #HS2  The UK Economy supports Rail  https://t.co/c9L08IB2YK #Railtex2017 https://t.co/FAMTFZS3Tc
