,text
237,Daily #construction &amp; #engineering briefing: \n- #HS2 has been exploring ‘hygienic’ railway designs for years https://t.co/VkFex4GjYW \n- ICE president on bylaw ballot https://t.co/MGtKi73trS\n- @networkrail searches for track condition monitoring innovation https://t.co/sFzkPVLpCS
239,High Speed 2 | Documents uncovered by NCE show that #HS2’s Independent Design Panel first urged @HS2ltd to “innovate” to “prevent germs from circulating” on the railway in January 2017 https://t.co/VkFex4GjYW
242,"We were delighted to recently produce 24 steel girders to form part of the first #bridges built for the #HS2 railway. 16 of these were pre-assembled in our #Darlington factory, before being transported to site. https://t.co/Kv9COgoSCf https://t.co/VQ3m8688AJ"
244,"East Midlands £2.6bn transport plan to boost HS2 links at Toton\n\n""This is not just a transport plan; it's a blueprint for social mobility, prosperity and long-term economic growth""\n\nhttps://t.co/52TMvvPVQp\n\n@D2N2LEP @EMCouncils @EastMidRailway @MidsConnect #EastMidlands #HS2 https://t.co/a2i18pm5Mp"
246,"If you're on your phone and you haven't downloaded the MS Teams app ready for today's #recruitment webinar with Chris and Ciaran, you've just got time! Once you've got the app, click on the link to hear them discussing future opportunities with VGC on #HS2 https://t.co/ztXF0rkPBV https://t.co/RwxAHF27r4"
249,'First large HS2 structure starts to come together\n\nMore here:\nhttps://t.co/AJ99fVwUu4\n\n#rail #railways #railindustry #news #newsoftheday #industrynews #transport #transportation #transportationindustry #hs2 #structures @HS2ltd https://t.co/mxizUK2IPJ
258,Looking for a new job? We've got roles on civil engineering projects such as HS2! Head to https://t.co/9U2hKRNvO0 to find your new job!\n\n#hs2 #ukjobs #civilengineering https://t.co/JBj7XHMOnL
261,#hs2\n⁦@Keir_Starmer⁩\n\nAre you saying this is good news??\n\nBillions to be spent connecting bus and rail users to HS2 | Central - ITV News https://t.co/CHXWVK157Y
262,Bridges | The steel engineering company behind the #Wembley Arch and the #Shard - @CleveBridgeUK - has produced 24 steel girders that will form part of the first bridges to be built for High Speed 2 #HS2 https://t.co/VDSa9HByqR
263,#hs2\n⁦@Andrew4Pendle⁩\n\nWhy was this contract awarded before notice to proceed and when did work on them begin?\n\nCleveland Bridge produces 24 massive modular HS2 bridge girders – Construction Manager https://t.co/FbXC39VVKy
265,Transport investment - particularly large infrastructure projects like #HS2 and #NorthernPowerhouseRail - are going to play a critical role in the UK's economic recovery. https://t.co/sa2eEx6rsl
266,UK’s largest train station gets building green light: https://t.co/Dk7HX0fGCn via @UKConstructionm  #TransportHub #HS2 https://t.co/46a6NSXU7n
270,"🗣🎧 PUBLIC SECTOR VOICES PODCAST 🎙🗣\n\nEp. 15 A gradual erosion of local autonomy  @SirBobKerslake  @EmilySRodgers\n\n""Where does this leave HS2?""\n\nhttps://t.co/2W3e0KvFPC\n\n@LGAcomms @PeabodyLDN @CfPScrutiny @UK_2070  #Kerslake #Podcast #Government #Transport #HS2 https://t.co/keLWKbUM8v"
272,World record breaking broadband speeds tested in Australia\nWhat we the UK need ⁦@BorisJohnson⁩ ⁦@RishiSunak⁩ not out of date #hs2  https://t.co/8vsT4YC5jW
274,It needs majority of  @Conservatives to get a spine and stand by all those who wish #hs2 to be cancelled and local infrastructure projects in Towns &amp; Cities across the UK be  given the go ahead. For 1gb Broadband to every home &amp; a new water pipe from North to South 4 starters. https://t.co/ddkRkWDBvy
278,"If you missed today's #recruitment webinar, you can watch it again on our YouTube channel to find out about future opportunities on #HS2. \n(Subscribe to our channel to see future #job webinars, too.)\nhttps://t.co/WBOSRl35jH https://t.co/RkNbWpKjys"
283,#hs2isabadidea\n#hs2isawasteofmoney\n#hs2isawasteofresource\n#hs2isbadfortheenvironment\n#HS2 #environment #badidea\n#upgrade #current #infrastructure \n#update #modernize #maintenance before #environmental #DESTRUCTION #savetheplanet
301,"1/2 #HS2Ltd's #MarkThurston sounds positive about #HS2 in a #Post_Cononavirus world but surely the implications for #HS2 is dire if trains and stations have to be redesigned to accomodate #SocialDistancing. See "" HS2 stations and trains to be redesigned for post Covid-19 world"""
311,"Following the approval of #HS2, we take a look at how #Kent reacted to the #HS1 plans in the 1990s  https://t.co/BKsUo3Cqg6 https://t.co/b1pdQxxO6D"
313,#HS2 news - @HS2ltd has begun the procurement process for contractors that will deliver around 280km of high speed track that will enable the UK to run some of the world’s most frequent and reliable long distance rail services. The contracts will be awarded in 2022. https://t.co/sGJKT9NXKE
322,Daily #engineering and #construction briefing:\n- #HS2 stations and trains to be redesigned https://t.co/RCrNwIHdKE\n- #Heathrow expansion plan ‘unlikely’ to be restarted in short term https://t.co/tuFJ5SFYUg\n- #A487 #bridge replacement closer to start date https://t.co/DZyohWs3Ht
325,Interesting to hear #HS2 CEO Mark Thurston talking about the possibility of redesigning stations for a 'post-Covid-19 world' #Coronavirus #Covid19 https://t.co/CabvQ3r8dI
327,".@PBC_Today is out now! Featuring the #construction industry v #Covid19, #HS2 readers' survey, @theCIOB Real Face of Construction report, @GowlingWLG_UK on #planning reform, @WomeninBIM's new Mentoring Scheme, #offsite benefits &amp; much more!  \n\nhttps://t.co/J8n8V1vRKS https://t.co/FkyLjfpwme"
328,The search has now begun for the specialist contractors that will deliver 280km of state-of-the-art high-speed #track for Britain's #HS2 project @HS2ltd https://t.co/P7h04cgZGM https://t.co/IhrK0o6KAV
332,#HS2 Interchange station near Solihull in the West Midlands is the first in the world to achieve the 'outstanding' classification by #BREEAM https://t.co/XWiMmhmHM2
337,"Following the approval of #HS2, we take a look at how #Kent reacted to the #HS1 plans in the 1990s https://t.co/kyPHafM9SA https://t.co/FTjuxlTcfq"
338,As HS2 is approved we look at the story of HS1 Kent's high-speed railway from London to the Channel Tunnel https://t.co/3SgXvRxiOB #HS1 #HS2 #Connectivity #Kent
340,HS2 stations and trains to be redesigned for post Covid-19 world https://t.co/IDQr5A2IbY The Post-Covid world - one more reason why we desperately need a brand new railway. #HS2 - we're getting it done.
341,"The #HS2 Interchange station, near #Solihull, is the first railway station in the world to be awarded an ‘outstanding’ rating by @BRE_BREEAM for its environmentally friendly design 👍\nFull @GrBhamChambers story here:\nhttps://t.co/VXcC7R8OeF\n#HS2Alltheway https://t.co/5W6wTlpXP5"
342,#HS2 Interchange station in #Birmingham has become the first railway station to get top award for environmentally friendly design: https://t.co/MAQMdEBtF7
348,'HS2 opens procurement competition for suppliers of slab track.'\n\nMore here:\nhttps://t.co/8JoSnsQ1Pz\n\n#rail #railways #railindustry #news #newsoftheday #industrynews #hs2 #procurement #competition #suppliers #slabtrack #track #railstaff #railengineer #contracts #trains @HS2ltd
352,"The rail network in Manchester, Liverpool, Leeds &amp; Sheffield does not work - the North deserves better. #HS2 and NPR will address but are long term schemes, so the new integrated rail plan, High Speed North must address these concerns now- see our report: https://t.co/RdHg4ctml8"
362,Irrespective of what you might think about @HS2ltd to design stations to the standard this interchange has been is fantastic and a real credit to their commitment for a sustainable and environmentally friendly network.\n\nhttps://t.co/nqVlgTittd\n\n#HS2 #Sustainability #BREEAM
369,Radio 4 reports this morning from the #HS2 protection camp at #Crackley Woods in #Kenilworth  https://t.co/WobBjLrwFc\n\n#StopHS2 #RethinkHS2 #ShutTheSites #HS2Rebellion \n\n#NHSnotHS2
372,"#HS2 interlink station design would be in top 1% of #eco friendly buildings in the UK with 222 #electric vehicle charging points + #solarpanels, #rainwater collection and air source #heatpumps\n#design #sustainable #publictransport\n\nhttps://t.co/ePXACbzAdh"
378,"When people say #HS2 doesn’t help the north, remind them where Phase 2A ends. It ends at Crewe. In Cheshire. Near Liverpool, Warrington &amp; Manchester. Which are all in the north when I was living in this part of the world... #hs2alltheway #highspeednorth https://t.co/H6clriuTNL"
382,What's your opinion ?\n\nQuestion 👉 Should the #UK #Government be going ahead with the #HS2 rail project ? \n\n#HS2Rebellion #railway #trains #Ukrailway #infrastructure #trainpassenger #privatisation #scarphs2 #saveHS2 #ukenvironment #ukcoronavirus #greenliving #transport
385,"High Speed 2 (#HS2) chief executive Mark Thurston has admitted that the megaproject’s stations and trains may have to be redesigned to factor in people’s travel habits in a ""post-coronavirus world"".\n\nhttps://t.co/So1ilvgyBF https://t.co/sPfEWso0Hr"
390,Stunning vision for £2.4m HS2 site in Chesterfield unveiled in new video\n\nhttps://t.co/ooxcftQKo2\n\n #constructionnews #constructionuk #hs2 #constructionproject #ukconstruction #railnews #landreferencing
391,Protesters block HS2 building sites amid ongoing coronavirus lockdown https://t.co/d7U2h9utC6 @dorset_eye @Georgeberger @KeithCameron5 @badputty @suejonessays @Hardeep216 @theeaglecanfly #HS2
393,"NEWS: As #HS2 is approved, take a look back at the story of #HS1 - #Kent's high-speed railway from London to the Channel Tunnel #kmfmnews https://t.co/RMhe21WvIL https://t.co/vjCH8CYBl3"
400,Wonderful to see at least some sections of the @TheGreenParty developing more nuanced and workable views on public transport. The party would attract big numbers I feel if they offered more sensible policies on the transport &amp; infrastructure platform @Greens4HS2 #HS2 https://t.co/ERKu2yV1ZB
401,Great letter setting out how the argument for #HS2 is about so much more than just making journeys faster. Capacity and connectivity are at the centre of the entire project. https://t.co/zzfePMBQzC
403,"My #covidー19uk idea, #agileworking #workfromhomelife now means no need for #HS2 . lack of capacity at #gatwick means over capacity moves there from #heathrow so need for additional runway and pump all the money from these 2 canned projects into the #NHS ? Could work couldn’t it?"
404,"If demand on the WCML somehow managed to grow at the pre-Covid rate, that could mean 80 per cent more passengers in the next 15 years. But that could be met with higher capacity rolling stock.   #hs2"
405,"The start of another week on @bbcmtd brings you\nInside a #COVID19 testing lab, @DrDavidGK explains how it all works from swap to result\nProtesters against #HS2 spending #lockdown among #trees \n#VEDay remembered by one #Warwickshire veteran"
408,https://t.co/fd7riwXt1I how about Hole Elephant ? #HS2
412,"I fully endorse this. I work constructively with @HS2ltd in #Solihull which is home to the 1st station on the line after London, providing scrutiny. We need to maximise the green benefits of #HS2 https://t.co/qU5GVWfa2t"
415,HS2 has a projected maintenance cost in excess of £100m - imagine if robots were programmed to maintain &amp; fix this rail network?\n.\n#Robotics #coding #Robotech #collaborativerobots #automation #HS2 @HS2ltd \n\nhttps://t.co/Y0yg0JzjKP
422,#Protesters try to stop #construction work on #HS2 sites https://t.co/Ju1ZK5O4yE\n#ukconstruction #constructionupdates #constructionnews #Calco via @ConstructionEnq https://t.co/t93mVriCjI
424,"ICYMI: As #HS2 is approved, take a look back at the story of #HS1 - #Kent's high-speed railway from London to the Channel Tunnel #kmfmnews https://t.co/RMhe21EURd https://t.co/SNazC8QSI8"
430,There are many heroes in this country.\nThese #HS2 protesters are heroes to many of us.\nLots of people claim to love their country: these people are showing they do.\n\nBBC News - HS2 protesters spending coronavirus lockdown in trees https://t.co/bl0K58NsEo
432,"All serious zero-CO2 plans involve a big increase in rail travel, even if overall travel decreases. At the moment 78% of miles are done by car, 11% by rail. So even small % shifts need lots more capacity. We need #HS2 to give us that big step change. https://t.co/mv9H49ywAx. https://t.co/h5QASjQ8X6"
434,Protesters block #HS2 building sites during ongoing #coronavirus lockdown\n https://t.co/T5bSEk4a3L #HS2Rebellion #BorisJohnson #BeijingBoris #Huawei #rishisunak #NHS #rail #transport
441,"#covid19 - #HS2 Ltd’s Mark Thurston ’From a design point of view we need to look at what that means in terms of density of people as well, both on trains and in stations’: Looks like HS2 passenger forecast will be wrong meaning there is no case for HS2 https://t.co/aeA8ClbqF6"
442,#COVID19 impact not considered for new buiness case but #HS2 CEO said today it will affect how they design stations.  That sounds like the business case urgently needs updating and re-evaluation https://t.co/J8PGOC3h63
444,"The mental gymnastics required to draw that comparison is truly astonishing. By far #HS2 gives better results, remembering that as a scheme it is employing thousands of taxpayers countrywide working for companies that pay back into the system from contracts hired to build it. https://t.co/yYiGt0yda3 https://t.co/zwiDTQdOiz"
448,"HS2, love it or loathe it, is going to change the way in which freight is moved around the UK, with the capacity for an additional 144 trains per day on the network being introduced. Getting into position early to take advantage will be crucial https://t.co/joHqrVUpFC #hs2"
450,"“It’s faster, it’s cleaner.” Richard from @DBCargoUK explains why #HS2 will help reduce #carbon emission, as it creates space on the existing railway to take more #freight off our roads and move it by #rail. #MoreFreightByRail https://t.co/GJQQk7Pff6"
461,Transport investment - particularly large infrastructure projects like #HS2 and #NorthernPowerhouseRail - are going to play a critical role in the UK's economic recovery. https://t.co/sa2eEx6rsl
464,"#DepartmentForTransport approval has been given to @HS2ltd to issue Notice to Proceed to civil works contractors, opening up supply chain opportunities for 1000s of UK and #MidlandsEngine businesses #SMEs @MidsConnect #HS2 https://t.co/OiIFd1JLma https://t.co/U3LYdILMrq"
466,Irrelevance !! Very good definition of HS2. Been saying for a long time that HS B/Band is of far more benefit economically than HS2. Esther McVey (C - Tatton) has publically said the same. We need more MPs to realise the truth in what she says. @edwardtimpson @EdwardJDavey #HS2 https://t.co/ilKI0xQ0Rb
472,"Fake News? I thought that was the prerogative of the DfT, HS2 Ltd, Jim Steer, Greenguage 21, High Speed Rail Industry Leaders Group. I wonder if you have studdied the Business Case in depth plus all its subsequent amendments, maybe not. #HS2 https://t.co/X4K9aW53ll"
476,Thank you for your time discussing #HS2 this morning @Andrew4Pendle. #Hillingdon residents will appreciate your input into holding @HS2ltd to account. We look forward to your visit and future meetings once #COVID19 restrictions permit.
480,"HS2, the company behind delivering the UK’s new high-speed rail network has achieved a Gold Standard rating by Clear Company, for ensuring that equality, diversity and inclusion (EDI) is embedded into all areas of its business. #inclusion #oneloudvoice #diversity #HS2 #Railways https://t.co/akQyJ4hps3"
482,"The report of the Oakervee Review has been published, and it recommended that, “on balance”, Ministers should proceed with the HS2 project, subject to various qualifications.\n\nRead more: https://t.co/klt3VsDLOJ\n\n#HS2 #UKRail #Rail #Transport https://t.co/hjP1Zl22ob"
483,"Bethell founded Westbourne Communications which led a 17 firm PR campaign to persuade L.A Leaders that #HS2 was the Economic Rainbow for the NorthMidlands. Aided by the High Speed Rail Industry Leaders Group, the campaign was relentless. Truth was never allowed to get in the way. https://t.co/prSCuybBNG"
